resolution,lambda,l1_error,l2_error,lI_error,build_time,upwards_time,solve_time,total_time
128,1,5.04E-06,5.39E-06,8.14E-06,0.18710821,0.00E+00,0.06759163,0.25469984
256,1,1.26E-06,1.35E-06,2.04E-06,0.68379137,0.00E+00,0.37532837,1.05911974
512,1,3.15E-07,3.37E-07,5.09E-07,2.81624062,0.00E+00,1.69862792,4.51486854
1024,1,7.87E-08,8.42E-08,1.27E-07,13.51663029,0.00E+00,11.22574508,24.74237537
2048,1,1.97E-08,2.11E-08,3.18E-08,88.52061371,0.00E+00,77.98494642,166.5055601
128,10,3.55E-05,4.22E-05,9.81E-05,0.21900188,0.00E+00,0.07505929,0.29406117
256,10,8.87E-06,1.05E-05,2.45E-05,0.62381704,0.00E+00,0.30954779,0.93336483
512,10,2.22E-06,2.64E-06,6.13E-06,3.10440396,0.00E+00,1.75609433,4.86049829
1024,10,5.54E-07,6.59E-07,1.53E-06,14.084814,0.00E+00,11.48315333,25.56796733
2048,10,1.39E-07,1.65E-07,3.83E-07,88.32476504,0.00E+00,74.64932217,162.9740872
128,100,5.73E-03,7.09E-03,2.15E-02,0.18391029,0.00E+00,0.06684279,0.25075308
256,100,1.33E-03,1.65E-03,5.07E-03,0.67878825,0.00E+00,0.30834817,0.98713642
512,100,3.28E-04,4.06E-04,1.25E-03,2.859719,0.00E+00,1.71875429,4.57847329
1024,100,8.16E-05,1.01E-04,3.11E-04,14.09280708,0.00E+00,12.03794379,26.13075087
2048,100,2.04E-05,2.52E-05,7.78E-05,90.04435871,0.00E+00,76.86112413,166.9054828
128,1000,2.29E-01,2.83E-01,7.97E-01,0.18890317,0.00E+00,0.06877063,0.2576738
256,1000,8.55E-03,1.09E-02,3.75E-02,0.689391,0.00E+00,0.30464625,0.99403725
512,1000,4.96E-03,6.39E-03,1.78E-02,2.70103912,0.00E+00,1.72534029,4.42637941
1024,1000,2.07E-03,2.69E-03,6.85E-03,14.38601013,0.00E+00,10.76095163,25.14696176
2048,1000,6.27E-04,8.15E-04,2.03E-03,88.84740512,0.00E+00,75.44194992,164.289355
