resolution,lambda,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,1,3.10E-02,2.93E-04,4.36E-06,0.00142621,0.02823925,0.02966546
256,1,3.10E-02,1.46E-04,1.08E-06,0.00277354,0.03924863,0.04202217
512,1,3.10E-02,7.29E-05,2.69E-07,0.01101658,0.15523179,0.16624837
1024,1,3.10E-02,3.64E-05,6.71E-08,0.0437155,0.59363467,0.63735017
2048,1,3.10E-02,1.82E-05,1.68E-08,0.17650729,2.50999763,2.68650492
128,10,3.44E-01,3.50E-03,6.73E-05,0.002534,0.03741813,0.03995213
256,10,3.44E-01,1.74E-03,1.67E-05,0.00910671,0.09718412,0.10629083
512,10,3.44E-01,8.70E-04,4.16E-06,0.01787567,0.44426733,0.462143
1024,10,3.44E-01,4.35E-04,1.04E-06,0.06501738,1.33625417,1.40127155
2048,10,3.44E-01,2.17E-04,2.59E-07,0.19742621,4.65714962,4.85457583
128,100,9.47E+01,9.25E-01,2.17E-02,0.00231,0.32369533,0.32600533
256,100,8.79E+01,4.27E-01,5.05E-03,0.007237,6.98495292,6.99218992
512,100,8.64E+01,2.10E-01,1.24E-03,0.01928342,96.9692095,96.98849292
1024,100,5.26E+04,6.48E+01,1.68E-01,0.04419283,75.39194254,75.43613537
2048,100,2.36E+05,1.44E+02,2.08E-01,0.18468658,1292.300773,1292.485459
128,1000,2.85E+03,2.77E+01,6.23E-01,0.00167471,28.25412708,28.25580179
256,1000,5.53E+02,2.75E+00,3.76E-02,0.00425654,35.88401079,35.88826733
512,1000,1.27E+03,3.20E+00,1.75E-02,0.01101204,91.85995933,91.87097137
1024,1000,4.09E+04,5.04E+01,1.06E-01,0.04399988,874.1493556,874.1933555
