resolution,lambda,l1_error,l2_error,lI_error,assembly_time,solve_time,total_time
128,1,3.10E-02,2.93E-04,4.36E-06,0.00286208,0.04701217,0.04987425
256,1,3.10E-02,1.46E-04,1.08E-06,0.01024496,0.06971583,0.07996079
512,1,3.10E-02,7.29E-05,2.69E-07,0.01776579,0.22964071,0.2474065
1024,1,3.10E-02,3.64E-05,6.71E-08,0.05456763,0.95277246,1.00734009
2048,1,3.10E-02,1.82E-05,1.68E-08,0.20231313,3.38682575,3.58913888
128,10,3.44E-01,3.50E-03,6.73E-05,0.00072221,0.026147,0.02686921
256,10,3.44E-01,1.74E-03,1.67E-05,0.00272971,0.04130925,0.04403896
512,10,3.44E-01,8.70E-04,4.16E-06,0.01808858,0.20069325,0.21878183
1024,10,3.44E-01,4.35E-04,1.04E-06,0.04387483,0.71152417,0.755399
2048,10,3.44E-01,2.17E-04,2.59E-07,0.17407463,3.18446221,3.35853684
128,100,9.47E+01,9.25E-01,2.17E-02,0.00101279,0.20435396,0.20536675
256,100,8.79E+01,4.27E-01,5.05E-03,0.00276871,4.68095517,4.68372388
512,100,8.64E+01,2.10E-01,1.24E-03,0.01145754,32.80943004,32.82088758
1024,100,8.60E+01,1.04E-01,3.08E-04,0.04348958,203.0352821,203.0787717
2048,100,8.59E+01,5.20E-02,7.68E-05,0.17560158,788.569185,788.7447866
128,1000,3.14E+02,3.10E+00,8.31E-02,0.00224429,15.98744304,15.98968733
256,1000,5.80E+02,2.88E+00,3.99E-02,0.00277092,55.35041125,55.35318217
512,1000,1.48E+03,3.75E+00,1.98E-02,0.01107946,387.8043456,387.815425
1024,1000,1.00E+04,1.28E+01,2.94E-02,0.04382175,1354.4834,1354.527222
